id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,location_x,location_y,team_id,team_name,opponentTeam_id,opponentTeam_name,player_id,player_name,shot_isGoal,shot_xg,shot_xg2,possession_id,possession_duration,possession_eventsNumber,possession_eventIndex,possession_startLocation_x,possession_startLocation_y,assist_info_id,assist_info_matchId,assist_info_matchPeriod,assist_info_minute,assist_info_second,assist_info_matchTimestamp,assist_info_videoTimestamp,assist_info_relatedEventId,assist_info_type_primary,assist_info_type_secondary,assist_info_location_x,assist_info_location_y,assist_info_team_id,assist_info_team_name,assist_info_team_formation,assist_info_opponentTeam_id,assist_info_opponentTeam_name,assist_info_opponentTeam_formation,assist_info_player_id,assist_info_player_name,assist_info_player_position,assist_info_pass_accurate,assist_info_pass_angle,assist_info_pass_height,assist_info_pass_length,assist_info_pass_recipient_id,assist_info_pass_recipient_name,assist_info_pass_recipient_position,assist_info_pass_endLocation_x,assist_info_pass_endLocation_y,assist_info_shot,assist_info_groundDuel,assist_info_aerialDuel,assist_info_infraction,assist_info_carry,assist_info_possession_id,assist_info_possession_duration,assist_info_possession_types,assist_info_possession_eventsNumber,assist_info_possession_eventIndex,assist_info_possession_startLocation_x,assist_info_possession_startLocation_y,assist_info_possession_endLocation_x,assist_info_possession_endLocation_y,assist_info_possession_team_id,assist_info_possession_team_name,assist_info_possession_team_formation,assist_info_possession_attack_withShot,assist_info_possession_attack_withShotOnGoal,assist_info_possession_attack_withGoal,assist_info_possession_attack_flank,assist_info_possession_attack_xg,shot_goalkeeper_id,shot_goalkeeper_name,assist_info,assist_info_possession_attack,assist_info_carry_progression,assist_info_carry_endLocation_x,assist_info_carry_endLocation_y,flank_center,flank_left,flank_right,shot_bodyPart_head_or_other,shot_bodyPart_left_foot,shot_bodyPart_right_foot,player_position_attacker,player_position_defender,player_position_midfielder,corner,counterattack,direct_free_kick,free_kick,free_kick_cross,set_piece_attack,throw_in,formation_back_3_or_5,formation_back_4,formation_narrow,formation_other,opponent_formation_back_3_or_5,opponent_formation_back_4,opponent_formation_narrow,opponent_formation_other,shot_distance,shot_angle,minute_exact,minute_int
2525775904,5590087,1H,14,5,00:14:05.838,846.838703,74,56,6713,Djurgården,8738,Rapid Wien,472359,H. Finndell,0,0.001169,0.034,2525775894,8.0570765,6,5,87,100,2525775900.0,5590087.0,1H,14.0,4.0,00:14:04.991,845.991078,2525775904.0,pass,"['back_pass', 'short_or_medium_pass', 'shot_assist']",81.0,63.0,6713.0,Djurgården,4-2-3-1,8738.0,Rapid Wien,4-4-1,546236.0,S. Haarala,RAMF,True,-144.0,,9.0,472359.0,H. Finndell,LDMF,74.0,56.0,,,,,,2525775894.0,8.0570765,"['attack', 'throw_in']",6.0,4.0,87.0,100.0,74.0,56.0,6713.0,Djurgården,4-2-3-1,True,False,False,right,0.0012,,,,,,,,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,38.01315561749642,22.249023657212366,14.083333333333334,14
2525775981,5590087,1H,16,20,00:16:20.042,981.042219,90,53,6713,Djurgården,8738,Rapid Wien,546236,S. Haarala,0,0.3696,0.304,2525775957,31.2595715,19,18,20,25,2525775980.0,5590087.0,1H,16.0,18.0,00:16:18.835,979.835282,2525775981.0,pass,"['deep_completion', 'forward_pass', 'key_pass', 'pass_to_penalty_area', 'short_or_medium_pass', 'shot_assist', 'smart_pass', 'through_pass']",82.0,53.0,6713.0,Djurgården,4-2-3-1,8738.0,Rapid Wien,4-4-1,472359.0,H. Finndell,LDMF,True,0.0,,8.0,546236.0,S. Haarala,RAMF,90.0,53.0,,,,,,2525775957.0,31.2595715,['attack'],19.0,17.0,20.0,25.0,90.0,53.0,6713.0,Djurgården,4-2-3-1,True,True,False,center,0.3696,545637.0,N. Hedl,,,,,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,24.20743687382041,28.131342364061048,16.333333333333332,16
2525775934,5590087,1H,17,22,00:17:22.682,1043.682911,88,50,8738,Rapid Wien,6713,Djurgården,66175,L. Schaub,0,0.01925,0.166,2525775914,41.1411535,12,11,3,67,2525775926.0,5590087.0,1H,17.0,20.0,00:17:20.101,1041.101828,2525775931.0,pass,"['deep_completion', 'lateral_pass', 'short_or_medium_pass', 'shot_assist', 'touch_in_box']",96.0,35.0,8738.0,Rapid Wien,4-4-1,6713.0,Djurgården,4-2-3-1,629543.0,M. Seidl,LW,True,115.0,,14.0,66175.0,L. Schaub,RW,90.0,54.0,,,,,,2525775914.0,41.1411535,['attack'],12.0,8.0,3.0,67.0,88.0,50.0,8738.0,Rapid Wien,4-4-1,True,False,False,center,0.0193,,,,,,,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,23.345235059857504,33.40416281560302,17.366666666666667,17
2525776003,5590087,1H,23,31,00:23:31.670,1412.670761,89,50,8738,Rapid Wien,6713,Djurgården,526355,S. Raux-Yao,0,0.152,0.193,2525775990,12.807294,11,10,67,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53031.0,J. Rinne,,,,,,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,22.627416997969522,33.75137919815036,23.516666666666666,24
2525776121,5590087,1H,25,25,00:25:25.953,1526.953456,87,50,6713,Djurgården,8738,Rapid Wien,54783,T. Nguen,0,0.03102,0.033,2525776110,18.730537,11,10,85,0,2525776118.0,5590087.0,1H,25.0,24.0,00:25:24.323,1525.323022,2525776120.0,pass,"['cross', 'deep_completed_cross', 'key_pass', 'lateral_pass', 'pass_to_penalty_area', 'progressive_pass', 'shot_assist']",71.0,74.0,6713.0,Djurgården,4-2-3-1,8738.0,Rapid Wien,4-4-1,329527.0,A. Ståhl,RB,True,-47.0,high,24.0,54783.0,T. Nguen,CF,87.0,49.0,,,,,,2525776110.0,18.730537,"['attack', 'throw_in']",11.0,7.0,85.0,0.0,87.0,50.0,6713.0,Djurgården,4-2-3-1,True,False,False,right,0.031,,,,,,,,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,24.08318915758459,32.99560723843002,25.416666666666668,25
2525776141,5590087,1H,34,14,00:34:14.914,2055.914651,74,71,8738,Rapid Wien,6713,Djurgården,66175,L. Schaub,0,0.002932,0.022,2525776119,3.8564515,5,4,71,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,48.27007354458868,13.934293789910896,34.233333333333334,34
2525776409,5590087,1H,48,20,00:48:20.668,2901.668593,89,56,6713,Djurgården,8738,Rapid Wien,627932,T. Gulliksen,0,0.2926,0.19,2525776396,31.407737,21,20,19,71,2525776408.0,5590087.0,1H,48.0,19.0,00:48:19.903,2900.903183,2525776409.0,pass,"['deep_completion', 'key_pass', 'lateral_pass', 'short_or_medium_pass', 'shot_assist', 'touch_in_box']",96.0,37.0,6713.0,Djurgården,4-2-3-1,8738.0,Rapid Wien,4-4-1,941777.0,K. Kosugi,LB,True,122.0,,15.0,627932.0,T. Gulliksen,AMF,89.0,56.0,,,,,,2525776396.0,31.407737,['attack'],21.0,19.0,19.0,71.0,89.0,56.0,6713.0,Djurgården,4-2-3-1,True,True,False,left,0.2926,545637.0,N. Hedl,,,,,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,27.202941017470888,23.606568902437697,48.333333333333336,48
2525776343,5590087,1H,50,59,00:50:59.666,3060.666626,87,58,8738,Rapid Wien,6713,Djurgården,66175,L. Schaub,0,0.01576,0.063,2525776332,18.82799,10,9,50,100,2525776341.0,5590087.0,1H,50.0,57.0,00:50:57.785,3058.785137,2525776342.0,pass,"['deep_completion', 'lateral_pass', 'pass_to_penalty_area', 'progressive_pass', 'short_or_medium_pass', 'shot_assist']",80.0,12.0,8738.0,Rapid Wien,4-4-1,6713.0,Djurgården,4-2-3-1,629543.0,M. Seidl,LW,True,73.0,,24.0,172254.0,L. Grgić,LCMF,87.0,46.0,,,,,,2525776332.0,18.82799,"['attack', 'throw_in']",10.0,7.0,50.0,100.0,87.0,58.0,8738.0,Rapid Wien,4-4-1,True,False,False,left,0.0158,,,,,,,,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,30.0,21.583969241769598,50.983333333333334,51
2525776442,5590087,1H,51,56,00:51:56.433,3117.433292,73,29,6713,Djurgården,8738,Rapid Wien,627932,T. Gulliksen,0,0.004444,0.008,2525776440,2.303624,3,2,71,7,2525776441.0,5590087.0,1H,51.0,55.0,00:51:55.331,3116.331104,2525776442.0,pass,"['short_or_medium_pass', 'shot_assist']",73.0,17.0,6713.0,Djurgården,4-2-3-1,8738.0,Rapid Wien,4-4-1,54783.0,T. Nguen,CF,True,90.0,,8.0,627932.0,T. Gulliksen,AMF,73.0,29.0,,,,,,2525776440.0,2.303624,['attack'],3.0,1.0,71.0,7.0,73.0,29.0,6713.0,Djurgården,4-2-3-1,True,False,False,left,0.0044,,,,,,,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,32.38826948140329,30.754394079558615,51.93333333333333,52
2525776489,5590087,2H,46,54,00:46:54.095,3315.095036,94,28,6713,Djurgården,8738,Rapid Wien,54783,T. Nguen,0,0.02652,0.055,2525776484,13.6644285,7,6,68,100,2525776488.0,5590087.0,2H,46.0,52.0,00:46:52.924,3313.924195,2525779803.0,pass,"['deep_completion', 'key_pass', 'lateral_pass', 'pass_to_penalty_area', 'short_or_medium_pass', 'shot_assist']",92.0,12.0,6713.0,Djurgården,4-2-3-1,8738.0,Rapid Wien,4-4-1,941777.0,K. Kosugi,LB,True,111.0,,14.0,0.0,,,88.0,31.0,,,,,,2525776484.0,13.6644285,"['attack', 'throw_in']",7.0,3.0,68.0,100.0,94.0,28.0,6713.0,Djurgården,4-2-3-1,True,False,False,center,0.0265,,,,,,,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,12.529964086141668,69.00128096561299,46.9,47
